gene,gene_name,TATA,class,tail-dependence,expression,Spt7,Taf13,Med15
YNL293W,MSB3,,TFIID,tail-independent,7.954034266,-0.927920364,-2.376483425,-0.073081375
YML002W,YML002W,,TFIID,tail-independent,7.952855655,-0.412547975,-2.795876093,-0.008772749
YGR244C,LSC2,TATA-containing,TFIID,tail-dependent,7.951764283,-1.062655268,-2.216466952,-0.392142442
YMR204C,INP1,TATA-less,TFIID,tail-independent,7.949809018,-0.565623242,-2.504192764,0.156012695
YGL025C,PGD1,TATA-less,TFIID,tail-independent,7.938579628,-0.640227481,-2.428281937,0.003005616
YJR008W,MHO1,,TFIID,tail-independent,7.928184974,-1.366015101,-3.52105344,-0.256786023
YLR417W,VPS36,TATA-less,TFIID,tail-independent,7.926572334,-0.35822379,-2.525623364,-0.019743935
YDL078C,MDH3,TATA-containing,TFIID,tail-independent,7.920843765,-0.674042645,-2.211923275,0.260621872
YKR088C,TVP38,,TFIID,tail-independent,7.919983604,-0.085764595,-2.60293744,0.106583429
YPL214C,THI6,TATA-less,TFIID,tail-independent,7.919930062,-0.730418366,-2.433669705,-0.020379081
YLR392C,ART10,TATA-less,TFIID,tail-independent,7.918324978,-0.637437573,-2.876878291,0.353787875
YBL025W,RRN10,TATA-less,TFIID,tail-independent,7.904401909,-1.423632773,-2.008182492,0.26418787
YLR283W,YLR283W,,TFIID,tail-independent,7.903010125,-0.498669295,-2.36426697,0.251947858
YOR284W,HUA2,TATA-less,TFIID,tail-independent,7.896516462,-1.3930931,-2.6177278,-0.194759165
YPL153C,RAD53,TATA-less,TFIID,tail-independent,7.895809057,-1.009453636,-2.196028893,0.041329749
YOL072W,THP1,TATA-less,TFIID,tail-independent,7.892114263,-0.812445637,-2.214809303,-0.000321779
YPL083C,SEN54,,TFIID,tail-independent,7.891540235,-0.70149666,-3.729152199,0.08559505
YLR385C,SWC7,,TFIID,tail-independent,7.890261207,-1.283009086,-2.361921337,0.08246216
YML003W,YML003W,TATA-less,TFIID,tail-independent,7.889409973,-0.342658227,-2.993567883,0.113485232
YNR049C,MSO1,TATA-less,TFIID,tail-independent,7.885189748,-0.92515026,-1.844371651,0.021434936
YDR076W,RAD55,TATA-less,TFIID,tail-independent,7.872929365,-0.577716371,-3.990564593,0.915446068
YOL005C,RPB11,TATA-less,TFIID,tail-independent,7.870925002,-1.060890924,-2.940165571,0.084630443
YNR012W,URK1,TATA-less,TFIID,tail-independent,7.866282169,-0.916723027,-2.714215408,0.65309638
YML011C,RAD33,TATA-containing,TFIID,tail-independent,7.865107138,-0.519300678,-2.363748202,0.089540428
YPL015C,HST2,TATA-less,TFIID,tail-independent,7.853822013,-1.309778558,-2.615075437,-0.063304358
YDR538W,PAD1,,TFIID,tail-independent,7.84717755,0.005517452,-2.362198654,0.085408208
YGL162W,SUT1,TATA-containing,TFIID,tail-independent,7.843670711,-0.576507539,-1.991974526,0.221285686
YNL278W,CAF120,TATA-less,TFIID,tail-independent,7.840971844,-1.323858751,-1.728750274,-0.069811654
YDR479C,PEX29,TATA-less,TFIID,tail-independent,7.830743828,-0.878465606,-2.519144512,-0.030981168
YPL107W,YPL107W,TATA-less,TFIID,tail-independent,7.826982413,-0.564000007,-2.64341735,0.110387396
